Analyte#	Protein ID	Entry Name	Protein Description	Gene	Contaminants	Protein Group	Sub Group	Number of  Used Peptide Ions	Value.NM	Value.MIC	Numb.NM	Numb.MIC	Median.NM	Median.MIC	Avg.NM	Avg.MIC	STD.NM	STD.MIC	CV.NM	CV.MIC	pval.Multiple.ANOVA	pval.NM.vs.MIC.ttest
17	ABE27957.1	---	"ABE27957.1 tetraspanin, partial [Strongylocentrotus purpuratus]"	---	N	7257	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
18	ABI53171.1	---	"ABI53171.1 NADH dehydrogenase subunit 5, partial (mitochondrion) [Strongylocentrotus purpuratus]"	---	N	7585	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
19	ABI53355.1	---	ABI53355.1 transcription factor SoxB2 [Strongylocentrotus purpuratus]	---	N	5016	b	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
20	ABK33666.1	---	"ABK33666.1 bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase, partial [Strongylocentrotus purpuratus]"	---	N	4999	c	1	1.317; 0.335; 1.497	0.869; 0.543; 1.131	3	3	1.317	0.869	1.050	0.848	0.625	0.295	59.52	34.79	0.639413240248204	0.639413240248204
21	ABK35135.1	---	ABK35135.1 rendezvin [Strongylocentrotus purpuratus]	---	N	6134	b	4	0.922; 1.027; 0.299	2.474; 1.434; 0.882	3	3	0.922	1.434	0.749	1.597	0.394	0.808	52.60	50.59	0.177934034100359	0.177934034100359
22	ABK58233.1	---	"ABK58233.1 syndecan, partial [Strongylocentrotus purpuratus]"	---	N	4	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
23	ABP57025.2	---	"ABP57025.2 BRCA2, partial [Strongylocentrotus purpuratus]"	---	N	5	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
24	ABQ09453.1	---	ABQ09453.1 ADP-ribosyl cyclase alpha [Strongylocentrotus purpuratus]	---	N	6	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
25	ABY58956.1	---	ABY58956.1 NAD kinase isoform 1 [Strongylocentrotus purpuratus]	---	N	7	a	5	1; 0.911; 1.08	1.239; 0.906; 1.792	3	3	1.000	1.239	0.997	1.312	0.085	0.448	8.53	34.15	0.296626027085896	0.296626027085896
26	ACI14303.1	---	ACI14303.1 src family kinase [Strongylocentrotus purpuratus]	---	N	8	a	2	0.923; 0.652; 1.044	1.455; 1.132; 1.317	3	3	0.923	1.317	0.873	1.301	0.201	0.162	23.02	12.45	0.0452080290521349	0.0452080290521349
27	ACZ67126.1	---	ACZ67126.1 strongylocin 2 [Strongylocentrotus purpuratus]	---	N	8359	a	1	0.165; 0.22; 0.333	2.26; 1.667; 1.944	3	3	0.220	1.944	0.239	1.957	0.086	0.297	35.98	15.18	0.000649312586728323	0.000649312586728323
28	AFD05170.1	---	AFD05170.1 p63 [Strongylocentrotus purpuratus]	---	N	4974	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
29	AFD10328.1	---	AFD10328.1 ATP-binding cassette transporter ABCB1a [Strongylocentrotus purpuratus]	---	N	4975	a	2	0.918; 1.053; 1.625	0.437; 1.052; 1.076	3	3	1.053	1.052	1.199	0.855	0.375	0.362	31.28	42.34	0.3174673955586	0.3174673955586
30	ASL69981.1	---	ASL69981.1 factor inhibiting HIF [Strongylocentrotus purpuratus]	---	N	4976	a	1	0.678; 0.975; 1.244	---; ---; 1.025	3	1	0.975	1.025	0.966	1.025	0.283	0	29.30	0.00	---	---
31	CAA40332.1	---	CAA40332.1 P3A1 protein [Strongylocentrotus purpuratus]	---	N	9	a	5	0.735; 1; 0.969	0.646; 1.268; 0.745	3	3	0.969	0.745	0.901	0.886	0.145	0.334	16.09	37.70	0.946564509204931	0.946564509204931
32	CAJ00308.1	---	"CAJ00308.1 translation elongation factor 1B alpha subunit, partial [Strongylocentrotus purpuratus]"	---	N	7417	a	1	1.086; 1; 1.558	---; 0.63; 0.623	3	2	1.086	0.627	1.215	0.627	0.300	0.005	24.69	0.80	---	---
33	CAL41295.1	---	"CAL41295.1 huntingtin, partial [Strongylocentrotus purpuratus]"	---	N	5937	b	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
34	CAM82435.1	---	CAM82435.1 unnamed protein product [Strongylocentrotus purpuratus]	---	N	7418	a	1	0.933; 1.067; 1.229	0.711; 0.858; 1.459	3	3	1.067	0.858	1.076	1.009	0.148	0.396	13.75	39.25	0.79745684799544	0.79745684799544
35	CAY10085.1	---	CAY10085.1 unnamed protein product [Strongylocentrotus purpuratus]	---	N	10	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
36	CAY38259.1	---	CAY38259.1 unnamed protein product [Strongylocentrotus purpuratus]	---	N	4978	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
37	CAZ77388.1	---	CAZ77388.1 unnamed protein product [Strongylocentrotus purpuratus]	---	N	4979	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
38	CAZ77936.1	---	CAZ77936.1 unnamed protein product [Strongylocentrotus purpuratus]	---	N	11	a	8	0.752; 1.138; 1.47	0.708; 0.956; 1.001	3	3	1.138	0.956	1.120	0.888	0.359	0.158	32.05	17.79	0.364377327444763	0.364377327444763
39	CBM36892.1	---	CBM36892.1 unnamed protein product [Strongylocentrotus purpuratus]	---	N	12	a	1	---; ---; 0.663	---; ---; 1.337	1	1	0.663	1.337	0.663	1.337	0	0	0.00	0.00	---	---
40	CBM39536.1	---	CBM39536.1 unnamed protein product [Strongylocentrotus purpuratus]	---	N	4980	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
41	DAA35226.1	---	"DAA35226.1 TPA_inf: sialidase NEU1.2, partial [Strongylocentrotus purpuratus]"	---	N	5804	b	2	0.664; 0.918; 0.668	1.305; 1.039; 1.22	3	3	0.668	1.220	0.750	1.188	0.146	0.136	19.47	11.45	0.0189254168600124	0.0189254168600124
42	DAA35227.1	---	"DAA35227.1 TPA_inf: sialidase NEU1.3, partial [Strongylocentrotus purpuratus]"	---	N	4981	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
43	DAA35228.1	---	"DAA35228.1 TPA_inf: sialidase NEU1.4, partial [Strongylocentrotus purpuratus]"	---	N	4982	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
44	NP_001001474.1	---	NP_001001474.1 guanine nucleotide-binding protein G(s) alpha subunit [Strongylocentrotus purpuratus]	---	N	4983	a	24	1.081; 0.669; 0.829	1.246; 1.187; 1.074	3	3	0.829	1.187	0.860	1.169	0.208	0.087	24.19	7.44	0.0761875783807732	0.0761875783807732
45	NP_001001475.1	---	NP_001001475.1 guanine nucleotide-binding protein G(i) alpha subunit [Strongylocentrotus purpuratus]	---	N	4983	b	9	0.927; 0.903; 0.736	1.518; 1.221; 0.917	3	3	0.903	1.221	0.855	1.219	0.104	0.301	12.16	24.69	0.11894820500559	0.11894820500559
46	NP_001001478.1	---	"NP_001001478.1 sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 precursor [Strongylocentrotus purpuratus]"	---	N	4984	a	1	0.39; 1.985; ---	0.35; 1.61; ---	2	2	1.188	0.980	1.188	0.980	1.128	0.891	94.95	90.92	---	---
47	NP_001008790.1	---	NP_001008790.1 phospholipase C delta isoform [Strongylocentrotus purpuratus]	---	N	4985	a	1	11.45; 0.803; ---	---; 1.197; 0.605	2	2	6.127	0.901	6.127	0.901	7.529	0.419	122.88	46.50	---	---
48	NP_001020382.1	---	NP_001020382.1 translation elongation factor 1B gamma subunit [Strongylocentrotus purpuratus]	---	N	13	a	52	1.026; 1; 1.146	0.835; 0.824; 1.129	3	3	1.026	0.835	1.057	0.929	0.078	0.173	7.38	18.62	0.307479609825693	0.307479609825693
49	NP_001027543.1	---	NP_001027543.1 beta-catenin [Strongylocentrotus purpuratus]	---	N	14	a	18	0.995; 1; 0.836	0.987; 1.217; 1.013	3	3	0.995	1.013	0.944	1.072	0.093	0.126	9.85	11.75	0.228122985965006	0.228122985965006
50	NP_001028696.2	---	NP_001028696.2 cyclin B [Strongylocentrotus purpuratus]	---	N	15	a	10	0.91; 1.028; 1.043	1.083; 0.795; 0.986	3	3	1.028	0.986	0.994	0.955	0.073	0.147	7.34	15.39	0.700926604144511	0.700926604144511
51	NP_001028822.1	---	NP_001028822.1 sperm plasma membrane calcium transporting ATPase [Strongylocentrotus purpuratus]	---	N	16	a	50	1; 0.838; 0.892	1.248; 1.259; 0.984	3	3	0.892	1.248	0.910	1.164	0.082	0.156	9.01	13.40	0.06722247313613	0.06722247313613
52	NP_001029122.1	---	NP_001029122.1 egg permeability glycoprotein [Strongylocentrotus purpuratus]	---	N	4975	c	3	---; 1.633; 0.989	---; 0.802; 0.805	2	2	1.311	0.804	1.311	0.804	0.455	0.002	34.71	0.25	---	---
53	NP_001032234.2	---	"NP_001032234.2 actin, cytoskeletal 1B [Strongylocentrotus purpuratus]"	---	N	6537	s	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
54	NP_001035495.1	---	NP_001035495.1 activator of G-protein signal [Strongylocentrotus purpuratus]	---	N	17	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
55	NP_001073019.1	---	NP_001073019.1 sodium bicarbonate cotransporter [Strongylocentrotus purpuratus]	---	N	18	a	2	1.128; 2.002; ---	0.936; 0.679; ---	2	2	1.565	0.808	1.565	0.808	0.618	0.182	39.49	22.52	---	---
56	NP_001073025.1	---	NP_001073025.1 forkhead transcription factor X [Strongylocentrotus purpuratus]	---	N	19	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
57	NP_001075437.1	---	NP_001075437.1 receptor for egg jelly 8 precursor [Strongylocentrotus purpuratus]	---	N	4986	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
58	NP_001077102.1	---	NP_001077102.1 uncharacterized protein LOC575773 [Strongylocentrotus purpuratus]	---	N	20	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
59	NP_001077103.1	---	NP_001077103.1 uncharacterized protein LOC752411 [Strongylocentrotus purpuratus]	---	N	21	a	10	0.956; 1.046; 1.185	0.802; 1.005; 1.015	3	3	1.046	1.005	1.062	0.941	0.115	0.120	10.83	12.75	0.274587375779777	0.274587375779777
60	NP_001091916.1	---	NP_001091916.1 eukaryotic initiation factor 4a [Strongylocentrotus purpuratus]	---	N	22	a	29	1.085; 0.999; 1.154	0.885; 0.864; 1.033	3	3	1.085	0.885	1.079	0.927	0.078	0.092	7.23	9.92	0.094190583583785	0.094190583583785
61	NP_001091917.1	---	NP_001091917.1 polyA-binding protein [Strongylocentrotus purpuratus]	---	N	4987	a	1	0.599; 1.265; 0.971	0.352; 1.029; 1.06	3	3	0.971	1.029	0.945	0.814	0.334	0.400	35.34	49.14	0.684950679740941	0.684950679740941
62	NP_001091921.1	---	NP_001091921.1 receptor for egg jelly 5 [Strongylocentrotus purpuratus]	---	N	8286	a	1	0.988; ---; ---	1.012; ---; ---	1	1	0.988	1.012	0.988	1.012	0	0	0.00	0.00	---	---
63	NP_001091924.1	---	"NP_001091924.1 secreted protein, acidic, cysteine-rich precursor [Strongylocentrotus purpuratus]"	---	N	23	a	10	0.978; 0.908; 0.815	1.109; 1.444; 0.963	3	3	0.908	1.109	0.900	1.172	0.082	0.247	9.11	21.08	0.1443681876717	0.1443681876717
64	NP_001091925.1	---	NP_001091925.1 checkpoint kinase 1 [Strongylocentrotus purpuratus]	---	N	4988	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
65	NP_001091928.1	---	NP_001091928.1 eukaryotic translation initiation factor 4E [Strongylocentrotus purpuratus]	---	N	24	a	20	0.977; 0.915; 1.091	0.979; 0.953; 1.185	3	3	0.977	0.979	0.994	1.039	0.089	0.127	8.95	12.22	0.644561926120594	0.644561926120594
66	NP_001106707.1	---	"NP_001106707.1 solute carrier family 12 (sodium/potassium/chloride transporters), member 2 [Strongylocentrotus purpuratus]"	---	N	25	a	2	0.879; 1.061; 0.597	0.799; 1.407; 1.165	3	3	0.879	1.165	0.846	1.124	0.234	0.306	27.66	27.22	0.279397233027918	0.279397233027918
67	NP_001107666.1	---	NP_001107666.1 ataxia telangiectasia mutated [Strongylocentrotus purpuratus]	---	N	26	a	3	1.146; 0.828; 1	---; 1.261; 1.121	3	2	1.000	1.191	0.991	1.191	0.159	0.099	16.04	8.31	---	---
68	NP_001116967.1	---	NP_001116967.1 rab3 GTPase [Strongylocentrotus purpuratus]	---	N	6525	l	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
69	NP_001116968.1	---	NP_001116968.1 orphan steroid hormone receptor 2 [Strongylocentrotus purpuratus]	---	N	4989	a	3	0.582; 1.341; 1.257	---; 1; 0.797	3	2	1.257	0.899	1.060	0.899	0.416	0.144	39.25	16.02	---	---
70	NP_001116969.1	---	NP_001116969.1 elongation factor 1 alpha [Strongylocentrotus purpuratus]	---	N	4990	a	17	0.981; 1.205; 1.322	0.855; 0.694; 0.988	3	3	1.205	0.855	1.169	0.846	0.173	0.147	14.80	17.38	0.0692748514566017	0.0692748514566018
71	NP_001116970.1	---	NP_001116970.1 40S ribosomal protein SA [Strongylocentrotus purpuratus]	---	N	4991	a	17	1.243; 1.135; 1.004	0.668; 0.84; 1.03	3	3	1.135	0.840	1.127	0.846	0.120	0.181	10.65	21.39	0.0881329684955361	0.0881329684955361
72	NP_001116971.1	---	NP_001116971.1 putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Strongylocentrotus purpuratus]	---	N	4992	a	16	1.082; 1.075; 1.027	0.98; 0.951; 0.994	3	3	1.075	0.980	1.061	0.975	0.030	0.022	2.83	2.26	0.0157438924564355	0.0157438924564355
73	NP_001116973.2	---	NP_001116973.2 methionine adenosyltransferase [Strongylocentrotus purpuratus]	---	N	4993	a	6	1.226; 1.102; 1.027	1.096; 0.829; 0.707	3	3	1.102	0.829	1.118	0.877	0.101	0.199	9.03	22.69	0.134406033429783	0.134406033429783
74	NP_001116974.1	---	NP_001116974.1 ATP synthase beta subunit [Strongylocentrotus purpuratus]	---	N	4994	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
75	NP_001116975.1	---	NP_001116975.1 GTPase homolog [Strongylocentrotus purpuratus]	---	N	6525	i	6	1.025; 1.017; 1.171	0.614; 0.986; 0.785	3	3	1.025	0.785	1.071	0.795	0.087	0.186	8.12	23.40	0.0804766123707539	0.0804766123707539
76	NP_001116978.2	---	NP_001116978.2 fructose-bisphosphate aldolase [Strongylocentrotus purpuratus]	---	N	4995	a	20	1.111; 0.997; 1.143	0.868; 0.835; 0.929	3	3	1.111	0.868	1.084	0.877	0.077	0.048	7.10	5.47	0.0167424226332348	0.0167424226332349
77	NP_001116979.1	---	NP_001116979.1 histone H2a-beta [Strongylocentrotus purpuratus]	---	N	6036	e	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
78	NP_001116980.1	---	NP_001116980.1 histone H2A.V [Strongylocentrotus purpuratus]	---	N	27	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
79	NP_001116981.2	---	NP_001116981.2 triosephosphate isomerase [Strongylocentrotus purpuratus]	---	N	5755	b	2	1.271; 1.001; 1.178	1.002; 0.793; 0.909	3	3	1.178	0.909	1.150	0.901	0.137	0.105	11.91	11.65	0.0670564722024694	0.0670564722024694
80	NP_001116983.1	---	NP_001116983.1 rab7 GTPase homolog SUrab7 [Strongylocentrotus purpuratus]	---	N	6525	c	23	0.98; 0.739; 0.926	1.118; 1.139; 1.049	3	3	0.926	1.118	0.882	1.102	0.126	0.047	14.29	4.26	0.0474441713787078	0.0474441713787078
81	NP_001116984.1	---	NP_001116984.1 rab11 GTPase homolog SUrab11p [Strongylocentrotus purpuratus]	---	N	6525	f	11	1; 0.868; 0.814	2.159; 1.211; 0.976	3	3	0.868	1.211	0.894	1.449	0.096	0.626	10.74	43.20	0.20401370285672	0.20401370285672
82	NP_001116985.2	---	NP_001116985.2 NAD(P) transhydrogenase [Strongylocentrotus purpuratus]	---	N	4997	a	49	0.972; 0.997; 0.996	0.986; 1.237; 0.996	3	3	0.996	0.996	0.988	1.073	0.014	0.142	1.42	13.23	0.362548141685071	0.362548141685071
83	NP_001116989.1	---	NP_001116989.1 major vault protein [Strongylocentrotus purpuratus]	---	N	28	a	75	1.03; 0.946; 1.278	0.963; 0.74; 1.135	3	3	1.030	0.963	1.085	0.946	0.173	0.198	15.94	20.93	0.412330775342797	0.412330775342798
84	NP_001118232.1	---	NP_001118232.1 translation elongation factor 1B beta subunit [Strongylocentrotus purpuratus]	---	N	29	a	7	0.972; 1; 1.242	0.499; 0.959; 1.28	3	3	1.000	0.959	1.071	0.913	0.148	0.393	13.82	43.04	0.548333386210202	0.548333386210202
85	NP_001118234.2	---	NP_001118234.2 amoeboid myosin I [Strongylocentrotus purpuratus]	---	N	4998	a	3	0.885; 0.953; 1.206	0.401; 0.981; 0.978	3	3	0.953	0.978	1.015	0.787	0.169	0.334	16.65	42.44	0.351013738115861	0.351013738115861
86	NP_001118237.2	---	NP_001118237.2 dual oxidase 1 precursor [Strongylocentrotus purpuratus]	---	N	30	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
87	NP_001118238.1	---	NP_001118238.1 bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase [Strongylocentrotus purpuratus]	---	N	4999	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
88	NP_001119776.2	---	NP_001119776.2 calcium-binding protein SPEC 2A [Strongylocentrotus purpuratus]	---	N	5030	b	6	0.668; 0.943; 1.64	1.037; 0.638; 1.005	3	3	0.943	1.005	1.084	0.893	0.501	0.222	46.22	24.86	0.579815278344801	0.579815278344801
89	NP_001119777.1	---	"NP_001119777.1 actin, muscle [Strongylocentrotus purpuratus]"	---	N	6537	j	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
90	NP_001119780.1	---	NP_001119780.1 cytidine monophospho-N-acetylneuraminic acid synthetase [Strongylocentrotus purpuratus]	---	N	31	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
91	NP_001121538.1	---	NP_001121538.1 soluble epoxide hydrolase-like protein 1 [Strongylocentrotus purpuratus]	---	N	32	a	34	1; 1.167; 0.973	1.006; 1.077; 0.874	3	3	1.000	1.006	1.047	0.986	0.105	0.103	10.03	10.45	0.512467445258929	0.512467445258929
92	NP_001121539.1	---	NP_001121539.1 soluble epoxide hydrolase-like protein 2 [Strongylocentrotus purpuratus]	---	N	7095	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
93	NP_001123279.1	---	NP_001123279.1 Ecr/Fxr protein [Strongylocentrotus purpuratus]	---	N	33	a	7	1.02; 1.12; 1.031	0.728; 0.741; 0.998	3	3	1.031	0.741	1.057	0.822	0.055	0.152	5.20	18.49	0.065958458717355	0.065958458717355
94	NP_001124190.1	---	NP_001124190.1 argonaute 1 [Strongylocentrotus purpuratus]	---	N	5000	a	1	0.871; 1.129; ---	0.744; ---; 10.568	2	2	1.000	5.656	1.000	5.656	0.182	6.947	18.20	122.83	---	---
95	NP_001135851.1	---	NP_001135851.1 src family kinase 7 [Strongylocentrotus purpuratus]	---	N	5523	b	21	0.946; 0.8; 0.931	1.213; 1.168; 1.07	3	3	0.931	1.168	0.892	1.150	0.080	0.073	8.97	6.35	0.0146799937398646	0.0146799937398646
96	NP_001135853.2	---	NP_001135853.2 src family kinase 5 [Strongylocentrotus purpuratus]	---	N	7449	a	1	0.771; 1.115; ---	1.023; 0.977; ---	2	2	0.943	1.000	0.943	1.000	0.243	0.033	25.77	3.30	---	---
97	NP_001138448.1	---	NP_001138448.1 two-pore calcium channel 2 [Strongylocentrotus purpuratus]	---	N	5001	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
98	NP_001138965.1	---	NP_001138965.1 glypican-6 precursor [Strongylocentrotus purpuratus]	---	N	34	a	8	0.899; 0.777; 1.079	0.989; 1.329; 1.02	3	3	0.899	1.020	0.918	1.113	0.152	0.188	16.56	16.89	0.236162400115302	0.236162400115302
99	NP_001139665.1	---	NP_001139665.1 vasa protein [Strongylocentrotus purpuratus]	---	N	5002	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
100	NP_001139666.1	---	NP_001139666.1 sodium-dependent alanine transporter 3 [Strongylocentrotus purpuratus]	---	N	6587	d	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
101	NP_001154909.1	---	NP_001154909.1 extracellular transglutaminase [Strongylocentrotus purpuratus]	---	N	8033	a	1	1.685; ---; 2.712	0.315; 0.053; ---	2	2	2.199	0.184	2.199	0.184	0.726	0.185	33.02	100.54	---	---
102	NP_001154911.1	---	"NP_001154911.1 transglutaminase, nuclear [Strongylocentrotus purpuratus]"	---	N	6161	b	1	---; 1.348; ---	---; 0.652; ---	1	1	1.348	0.652	1.348	0.652	0	0	0.00	0.00	---	---
103	NP_001157279.1	---	NP_001157279.1 mannosyl-oligosaccharide glucosidase [Strongylocentrotus purpuratus]	---	N	37	a	1	---; 0.262; ---	---; 1.738; ---	1	1	0.262	1.738	0.262	1.738	0	0	0.00	0.00	---	---
104	NP_001159462.1	---	NP_001159462.1 synaptotagmin I [Strongylocentrotus purpuratus]	---	N	38	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
105	NP_001164286.1	---	NP_001164286.1 fertilization envelope protein 1 precursor [Strongylocentrotus purpuratus]	---	N	39	a	44	0.36; 0.206; 0.119	2.038; 2.354; 1.744	3	3	0.206	2.038	0.228	2.045	0.122	0.305	53.51	14.91	0.000663887046275032	0.000663887046275033
106	NP_001164287.1	---	NP_001164287.1 Ste20-like protein kinase [Strongylocentrotus purpuratus]	---	N	40	a	34	0.995; 1.093; 1.003	0.835; 0.977; 1.004	3	3	1.003	0.977	1.030	0.939	0.054	0.091	5.24	9.69	0.207999390677081	0.207999390677082
107	NP_001164288.1	---	NP_001164288.1 strongylocin 1 precursor [Strongylocentrotus purpuratus]	---	N	7586	a	2	0.306; 0.208; 0.469	3.343; 2.669; 1.281	3	3	0.306	2.669	0.328	2.431	0.132	1.051	40.24	43.23	0.0263406602928127	0.0263406602928127
108	NP_001164289.2	---	NP_001164289.2 strongylocin 2 precursor [Strongylocentrotus purpuratus]	---	N	8306	a	1	0.154; 0.263; ---	2.12; 1.737; ---	2	2	0.209	1.929	0.209	1.929	0.077	0.271	36.84	14.05	---	---
